輔具分類,項次,補助項目,一般戶,中低收,低收,年限,評估人員,補助對象,評估規定,規格或功能規範,其他規定,確認沒問題
個人行動輔具,1,推車-一般型,"6,500","6,500","6,500",3,甲,"應符合下列條件之一：

(一) 第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】重度以上。(重度以上肢體障礙者)

(二)12 歲以下動作發展障礙兒童(如腦性麻痺患者)。
","應符合下列條件之一：

(一)經復健科醫師開立診斷證明書及相關專業治療師出具輔具評估報告書，並於診斷證明書或輔具評估報告書載明本項輔具需求(輔具評估報告書格式編號 1)。

(二)經政府設置或委託辦理之輔具服務單位輔具評估人員(含該單位特約之輔具評估人員)開立輔具評估報告書(輔具評估報告書格式編號 1)。","專為載送人員設計之推車，均應配備骨盆帶，且符合下列各項規範：

(一)推車-一般型(項次1)：含嬰幼兒推車，須具15公斤以上載重功能。","(一)推車各項次(項次1至3)於最低使用年限內僅能擇一申請。

(二)應檢附輔具供應商出具保固書之影本(保固書正本由申請人留存)。保固書並應載明產品規格(含本表所定本項輔具之規格或功能規範內容)、型號、序號、保固年限及起迄日期(含年、月、日)、輔具供應商行號名稱、統一編號、負責人姓名、服務電話及其他必要資訊。並應提供有效日期內中央主管機關醫療器材許可證字號 。",
個人行動輔具,2,推車-荷重型,"12,000","12,000","12,000",3,甲,"應符合下列條件之一：

(一) 第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】重度以上。(重度以上肢體障礙者)

(二)12 歲以下動作發展障礙兒童(如腦性麻痺患者)。
","應符合下列條件之一：

(一)經復健科醫師開立診斷證明書及相關專業治療師出具輔具評估報告書，並於診斷證明書或輔具評估報告書載明本項輔具需求(輔具評估報告書格式編號1)。

(二)經政府設置或委託辦理之輔具服務單位輔具評估人員(含該單位特約之輔具評估人員)開立輔具評估報告書(輔具評估報告書格式編號1)。","專為載送人員設計之推車，均應配備骨盆帶，且符合下列各項規範：

(二)推車-荷重型(項次2)：須具35公斤以上載重功能。","(一)推車各項次(項次1至3)於最低使用年限內僅能擇一申請。

(二)應檢附輔具供應商出具保固書之影本(保固書正本由申請人留存)。保固書並應載明產品規格(含本表所定本項輔具之規格或功能規範內容)、型號、序號、保固年限及起迄日期(含年、月、日)、輔具供應商行號名稱、統一編號、負責人姓名、服務電話及其他必要資訊。並應提供有效日期內中央主管機關醫療器材許可證字號 。",
個人行動輔具,3,推車-擺位型,"28,000","28,000","28,000",3,甲,"應符合下列條件之一：

(一) 第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】重度以上。(重度以上肢體障礙者)

(二)12 歲以下動作發展障礙兒童(如腦性麻痺患者)。
",須經政府設置或委託辦理之輔具服務單位輔具評估人員(含該單位特約之輔具評估人員)開立輔具評估報告書(輔具評估報告書格式編號1)。,"專為載送人員設計之推車，均應配備骨盆帶，且符合下列各項規範：

(三)推車-擺位型(項次3)：須具35公斤以上載重功能，且具空中傾倒功能、座深及踏板高度之機械結構調整功能，並提供頭靠墊、軀幹側支撐墊、臀部(或大腿部)側支撐墊及身體固定帶(可與骨盆帶整合)。","(一)推車各項次(項次1至3)於最低使用年限內僅能擇一申請。

(二)應檢附輔具供應商出具保固書之影本(保固書正本由申請人留存)。保固書並應載明產品規格(含本表所定本項輔具之規格或功能規範內容)、型號、序號、保固年限及起迄日期(含年、月、日)、輔具供應商行號名稱、統一編號、負責人姓名、服務電話及其他必要資訊。並應提供有效日期內中央主管機關醫療器材許可證字號 。",
個人行動輔具,4,輪椅-非輕量化量產型,"1,750","2,625","3,500",3,不需評估,"應符合下列條件之一： 

(一)第一類：【b110.4】或【09】。(植物人)

(二)第一類：【b117】、【b122】、【b140】、【b144】、【b147】、【b152】、【b160】、【b164】或【10】中度以上。(中度以上失智症者)
(ICD 代碼：ICD-9：290.0、290.10、290.11、290.12、290.13、290.20、290.21、290.3、290.40、290.41、290.42、290.43、290.8、290.9、294.0、294.10、294.11、331.0、331.1。ICD-10：F01.50、F01.51、 F02.80、F02.81、F03、F03.9、F03.90、F03.91、F04、F05、G30.0、G30.1 、G30.8 、G30.9 、G31.0 、 G31.09。)

(三)第二類：【b235】或【03】。(平衡機能障礙者)

(四) 第七類：【b710a 】、【b710b 】、【b730a 】、【b730b 】、【b735 】、【b765】、【s730】、【s750】、【s760】或【05】。(肢體障礙者)

(五)申請輪椅-客製型(項次6)者，上述障別之等級須為重度以上。",不需評估,輪椅均應配備骨盆帶。,"(一)18歲以下符合補助資格者得2年申請補助1次。

(二)輪椅各項次(項次4至6)於最低使用年限內僅能擇一申請。

(三)申請本項補助者於最低使用年限內不得再申請高活動型輪椅各項次(項次 10、11)。

(四)輪椅各項次(項次 4 至 6)及輪椅附加功能各項次(項次 7 至 9)同時申請應視為輔具整體，核銷時得提供輔具整體購買金額，無須細列各補助項目購買金額。

(五)應檢附輔具供應商出具保固書之影本(保固書正本由申請人留存)。保固書並應載明產品規格(含本表所定本項輔具之規格或功能規範內容)、型號、序號、保固年限及起迄日期(含年、月、日)、輔具供應商行號名稱、統一編號、負責人姓名、服務電話，並應提供有效日期內中央主管機關醫療器材許可證字號及其他必要資訊。",
個人行動輔具,5,輪椅-輕量化量產型,"2,000","3,000","4,000",3,不需評估,"應符合下列條件之一： 

(一)第一類：【b110.4】或【09】。(植物人)

(二)第一類：【b117】、【b122】、【b140】、【b144】、【b147】、【b152】、【b160】、【b164】或【10】中度以上。(中度以上失智症者)
(ICD 代碼：ICD-9：290.0、290.10、290.11、290.12、290.13、290.20、290.21、290.3、290.40、290.41、290.42、290.43、290.8、290.9、294.0、294.10、294.11、331.0、331.1。ICD-10：F01.50、F01.51、 F02.80、F02.81、F03、F03.9、F03.90、F03.91、F04、F05、G30.0、G30.1 、G30.8 、G30.9 、G31.0 、 G31.09。)

(三)第二類：【b235】或【03】。(平衡機能障礙者)

(四) 第七類：【b710a 】、【b710b 】、【b730a 】、【b730b 】、【b735 】、【b765】、【s730】、【s750】、【s760】或【05】。(肢體障礙者)

(五)申請輪椅-客製型(項次6)者，上述障別之等級須為重度以上。",不需評估,"輪椅均應配備骨盆帶，且符合下列各項規範：

(一)輪椅-輕量化量產型(項次5)：為輕量化材質骨架設計。","(一)18歲以下符合補助資格者得2年申請補助1次。

(二)依評估結果，輪椅-輕量化量產型、客製型(項次5、6)須搭配輪椅附加功能各項次(項次7至9)同時申請時，視為補助1項次。

(三)輪椅各項次(項次4至6)於最低使用年限內僅能擇一申請。

(四)申請本項補助者於最低使用年限內不得再申請高活動型輪椅各項次(項次 10、11)。

(五)輪椅各項次(項次 4 至 6)及輪椅附加功能各項次(項次 7 至 9)同時申請應視為輔具整體，核銷時得提供輔具整體購買金額，無須細列各補助項目購買金額。

(六)應檢附輔具供應商出具保固書之影本(保固書正本由申請人留存)。保固書並應載明產品規格(含本表所定本項輔具之規格或功能規範內容)、型號、序號、保固年限及起迄日期(含年、月、日)、輔具供應商行號名稱、統一編號、負責人姓名、服務電話，並應提供有效日期內中央主管機關醫療器材許可證字號及其他必要資訊。",
個人行動輔具,6,輪椅-客製型,"9,000","9,000","9,000",3,甲,"應符合下列條件之一： 

(一)第一類：【b110.4】或【09】。(植物人)

(二)第一類：【b117】、【b122】、【b140】、【b144】、【b147】、【b152】、【b160】、【b164】或【10】中度以上。(中度以上失智症者)
(ICD 代碼：ICD-9：290.0、290.10、290.11、290.12、290.13、290.20、290.21、290.3、290.40、290.41、290.42、290.43、290.8、290.9、294.0、294.10、294.11、331.0、331.1。ICD-10：F01.50、F01.51、 F02.80、F02.81、F03、F03.9、F03.90、F03.91、F04、F05、G30.0、G30.1 、G30.8 、G30.9 、G31.0 、 G31.09。)

(三)第二類：【b235】或【03】。(平衡機能障礙者)

(四) 第七類：【b710a 】、【b710b 】、【b730a 】、【b730b 】、【b735 】、【b765】、【s730】、【s750】、【s760】或【05】。(肢體障礙者)

(五)申請輪椅-客製型(項次6)者，上述障別之等級須為重度以上。",須經政府設置或委託辦理之輔具服務單位輔具評估人員(含該單位特約之輔具評估人員)開立輔具評估報告書(輔具評估報告書格式編號 1)。,"客製輪椅均應配備骨盆帶，且符合下列 4種以上材質或機械結構規格：

1.具有5公分以上之座寬調整功能。
2.具有10公分以上之座深調整功能，或提供10公分以上座深之訂購範圍。
3.具有5段以上之座背靠角度調整功能，或提供30度以上座背靠角度訂購範圍。
4.具有6公分以上座高調整功能，或提供6公分以上座高訂購範圍。
5.具有5公分以上扶手高度調整功能，或提供5公分以上扶手高度訂購範圍。
6.具有2種以上後輪軸心前後位置調整功能。
7.22 英吋以上座寬，並具150公斤以上之載重功能；14英吋以下座寬。
8.為輕量化材質骨架設計。
","(一)18歲以下符合補助資格者得2年申請補助1次。

(二)依評估結果，輪椅-輕量化量產型、客製型(項次5、6)須搭配輪椅附加功能各項次(項次7至9)同時申請時，視為補助1項次。

(三)依評估結果，輪椅-客製型(項次6)須搭配擺位系統各項次(項次26至29)同時申請時，視為補助1項次。 

(四)輪椅各項次(項次4至6)於最低使用年限內僅能擇一申請。

(五)申請本項補助者於最低使用年限內不得再申請高活動型輪椅各項次(項次 10、11)。

(六)申請輪椅-客製型(項次 6)核銷時應檢附原廠輪椅訂製單，包含機械結構調整範圍或功能，與訂購範圍或訂購功能等之必要資訊。

(七)輪椅各項次(項次 4 至 6)及輪椅附加功能各項次(項次 7 至 9)同時申請應視為輔具整體，核銷時得提供輔具整體購買金額，無須細列各補助項目購買金額。

(八)應檢附輔具供應商出具保固書之影本(保固書正本由申請人留存)。保固書並應載明產品規格(含本表所定本項輔具之規格或功能規範內容)、型號、序號、保固年限及起迄日期(含年、月、日)、輔具供應商行號名稱、統一編號、負責人姓名、服務電話，並應提供有效日期內中央主管機關醫療器材許可證字號及其他必要資訊。",
個人行動輔具,7,輪椅附加功能-具利於移位功能,"5,000","5,000","5,000",3,甲,"應符合下列條件之一：
(一)第一類：【b110.4】或【09】。(植物人)

(二)第一類：【b117】、【b122】、【b140】、【b144】、【b147】、【b152】、【b160】、【b164】或【10】重度以上。(重度以上失智症者)
(ICD 代碼：ICD-9：290.0、290.10、 290.11、290.12、290.13、290.20、290.21、290.3、290.40、290.41、290.42、290.43、290.8、290.9、294.0、294.10、294.11、331.0、331.1。ICD-10：F01.50、F01.51、F02.80 、F02.81 、F03 、F03.9 、 F03.90、F03.91、F04、F05、G30.0、 G30.1 、G30.8 、G30.9 、G31.0 、 G31.09。)

(三)第二類：【b235】或【03】重度以上。 (重度以上平衡機能障礙者)

(四) 第七類：【b710a 】、【b710b 】、【b730a 】、【b730b 】、【b735 】、【b765】、【s730】、【s750】、【s760】或【05】重度以上。(重度以上肢體障礙者)；無法以下肢承重轉位者，得申請輪椅附加功能-具利於移位功能(項次 7)，不受障礙等級重度以上之限制。","應符合下列條件之一：

(一)經身心障礙鑑定醫療機構之復健科醫師開立診斷證明書及相關專業治療師出具輔具評估報告書，並於診斷證明書或輔具評估報告書載明本項輔具需求(輔具評估報告書格式編號 1)。

(二)經政府設置或委託辦理之輔具服務單位輔具評估人員(含該單位特約之輔具評估人員)開立輔具評估報告書(輔具評估報告書格式編號1)。",具可拆、掀或下沉式扶手以淨空橫向移位路徑，並具可拆卸式腳靠以利於移位。,"(一)18 歲以下符合補助資格者得 2 年申請補助 1 次。

(二)依評估結果，輪椅-輕量化量產型、客製型(項次 5、6)須搭配輪椅附加功能各項次(項次 7 至 9)同時申請時，視為補助 1 項次，不得僅申請輪椅附加功能各項次(項次 7 至 9)。

(三)輪椅各項次(項次 4 至 6)及輪椅附加功能各項次(項次 7 至 9)同時申請應視為輔具整體，核銷時得提供輔具整體購買金額，無須細列各補助項目購買金額。

(四)應檢附輔具供應商出具保固書之影本(保固書正本由申請人留存)。保固書並應載明產品規格(含本表所定本項輔具之規格或功能規範內容)、型號、序號、保固年限及起迄日期(含年、月、日)、輔具供應商行號名稱、統一編號、負責人姓名、服務電話，並應提供有效日期內中央主管機關醫療器材許可證字號及其他必要資訊。",
個人行動輔具,8,輪椅附加功能-具仰躺功能,"2,000","2,000","2,000",3,甲,"應符合下列條件之一：
(一)第一類：【b110.4】或【09】。(植物人)

(二)第一類：【b117】、【b122】、【b140】、【b144】、【b147】、【b152】、【b160】、【b164】或【10】重度以上。(重度以上失智症者)
(ICD 代碼：ICD-9：290.0、290.10、 290.11、290.12、290.13、290.20、290.21、290.3、290.40、290.41、290.42、290.43、290.8、290.9、294.0、294.10、294.11、331.0、331.1。ICD-10：F01.50、F01.51、F02.80 、F02.81 、F03 、F03.9 、 F03.90、F03.91、F04、F05、G30.0、 G30.1 、G30.8 、G30.9 、G31.0 、 G31.09。)

(三)第二類：【b235】或【03】重度以上。 (重度以上平衡機能障礙者)

(四) 第七類：【b710a 】、【b710b 】、【b730a 】、【b730b 】、【b735 】、【b765】、【s730】、【s750】、【s760】或【05】重度以上。(重度以上肢體障礙者)；無法以下肢承重轉位者，得申請輪椅附加功能-具利於移位功能(項次 7)，不受障礙等級重度以上之限制。","應符合下列條件之一：

(一)經身心障礙鑑定醫療機構之復健科醫師開立診斷證明書及相關專業治療師出具輔具評估報告書，並於診斷證明書或輔具評估報告書載明本項輔具需求(輔具評估報告書格式編號 1)。

(二)經政府設置或委託辦理之輔具服務單位輔具評估人員(含該單位特約之輔具評估人員)開立輔具評估報告書(輔具評估報告書格式編號1)。",具不及座面連動之椅背仰躺功能(無段式調整)，且須配備胸帶及防傾桿。,"(一)18 歲以下符合補助資格者得 2 年申請補助 1 次。

(二)依評估結果，輪椅-輕量化量產型、客製型(項次 5、6)須搭配輪椅附加功能各項次(項次 7 至 9)同時申請時，視為補助 1 項次，不得僅申請輪椅附加功能各項次(項次 7 至 9)。

(三)輪椅各項次(項次 4 至 6)及輪椅附加功能各項次(項次 7 至 9)同時申請應視為輔具整體，核銷時得提供輔具整體購買金額，無須細列各補助項目購買金額。

(四)應檢附輔具供應商出具保固書之影本(保固書正本由申請人留存)。保固書並應載明產品規格(含本表所定本項輔具之規格或功能規範內容)、型號、序號、保固年限及起迄日期(含年、月、日)、輔具供應商行號名稱、統一編號、負責人姓名、服務電話，並應提供有效日期內中央主管機關醫療器材許可證字號及其他必要資訊。",
個人行動輔具,9,輪椅附加功能-具空中傾倒功能,"4,000","4,000","4,000",3,甲,"應符合下列條件之一：
(一)第一類：【b110.4】或【09】。(植物人)

(二)第一類：【b117】、【b122】、【b140】、【b144】、【b147】、【b152】、【b160】、【b164】或【10】重度以上。(重度以上失智症者)
(ICD 代碼：ICD-9：290.0、290.10、 290.11、290.12、290.13、290.20、290.21、290.3、290.40、290.41、290.42、290.43、290.8、290.9、294.0、294.10、294.11、331.0、331.1。ICD-10：F01.50、F01.51、F02.80 、F02.81 、F03 、F03.9 、 F03.90、F03.91、F04、F05、G30.0、 G30.1 、G30.8 、G30.9 、G31.0 、 G31.09。)

(三)第二類：【b235】或【03】重度以上。 (重度以上平衡機能障礙者)

(四) 第七類：【b710a 】、【b710b 】、【b730a 】、【b730b 】、【b735 】、【b765】、【s730】、【s750】、【s760】或【05】重度以上。(重度以上肢體障礙者)；無法以下肢承重轉位者，得申請輪椅附加功能-具利於移位功能(項次 7)，不受障礙等級重度以上之限制。","應符合下列條件之一：

(一)經身心障礙鑑定醫療機構之復健科醫師開立診斷證明書及相關專業治療師出具輔具評估報告書，並於診斷證明書或輔具評估報告書載明本項輔具需求(輔具評估報告書格式編號 1)。

(二)經政府設置或委託辦理之輔具服務單位輔具評估人員(含該單位特約之輔具評估人員)開立輔具評估報告書(輔具評估報告書格式編號1)。",具空中傾倒功能 (項次 9)：具及椅背連動之無段式或有段式(具 10 段以上)座面空中傾倒功能，及配備胸帶及防傾桿。,"(一)18 歲以下符合補助資格者得 2 年申請補助 1 次。

(二)依評估結果，輪椅-輕量化量產型、客製型(項次 5、6)須搭配輪椅附加功能各項次(項次 7 至 9)同時申請時，視為補助 1 項次，不得僅申請輪椅附加功能各項次(項次 7 至 9)。

(三)輪椅各項次(項次 4 至 6)及輪椅附加功能各項次(項次 7 至 9)同時申請應視為輔具整體，核銷時得提供輔具整體購買金額，無須細列各補助項目購買金額。

(四)應檢附輔具供應商出具保固書之影本(保固書正本由申請人留存)。保固書並應載明產品規格(含本表所定本項輔具之規格或功能規範內容)、型號、序號、保固年限及起迄日期(含年、月、日)、輔具供應商行號名稱、統一編號、負責人姓名、服務電話，並應提供有效日期內中央主管機關醫療器材許可證字號及其他必要資訊。",
個人行動輔具,10,高活動型輪椅-基礎型,"15,000","22,500","30,000",4,甲,"應符合下列所有條件：

(一)第七類：【b710b】、【b730b】、【b735】、【b765】、【s750】或【05】下肢重度以上。(下肢重度以上肢體障礙者)

(二)具自力推行能力者。",經政府設置或委託辦理之輔具服務單位輔具評估人員(含該單位特約之輔具評估人員)開立輔具評估報告書(輔具評估報告書格式編號 1)。,"應符合下列所有規範：

(一)採用高強度輕量化材質製作的骨架結構，含必要組件(骨架、輪組、煞車、座背墊、腿靠及踏板)之全車淨重12公斤以下。

(二)後輪應配置高壓充氣胎，其可承受之充氣壓力值不得低於100磅/平方英吋(100psi)。

(三)應能符合下列3項以上規格：

1.提供3種以上輪椅前後座高組合之選項。

2.介於100度至75度間的座背靠角範圍內，至少可提供3種以上之角度選項。

3.提供3種以上後輪軸心前置位置選項，且軸心最大前置量不得小於6公分。

4.提供2種以上之後輪外展角度選項。

5.提供2種以上之前骨架彎管角度選項。","(一)申請高活動型輪椅-基礎型(項次 10)，18 歲以下符合補助資格者得2年申請補助 1 次。

(二)高活動型輪椅各項次(項次 10、11)於最低使用年限內僅能擇一申請。

(三)申請本項補助者於最低使用年限內不得再申請輪椅各項次(項次 4至 6)。

(四)申請高活動型輪椅各項次(項次 10、11)核銷時應檢附原廠高活動型輪椅訂製單，包含機械結構調整範圍或功能，與訂購範圍或訂購功能等之必要資訊。

(五)應檢附輔具供應商出具保固書之影本(保固書正本由申請人留存)。保固書並應載明產品規格(含本表所定本項輔具之規格或功能規範內容)、型號、序號、保固年限及起迄日期(含年、月、日)、輔具供應商行號名稱、統一編號、負責人姓名、服務電話，並應提供有效日期內中央主管機關醫療器材許可證字號及其他必要資訊。",
